strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T3_top5,2,4,0.0,1,0.55,True,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,1,0.58,True,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,1,0.0,False,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,1,0.0,True,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,1,0.58,False,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,1,0.6,True,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,1,0.55,False,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,1,0.6,False,1073.33,70.37,-11.84,8.55,54,798.310085669782
T3_top5,2,4,0.0,5,0.0,True,981.69,75.56,-11.84,9.13,90,774.495303738318
T3_top5,2,4,0.0,5,0.55,True,981.69,75.56,-11.84,9.13,90,774.495303738318
T3_top5,2,4,0.0,5,0.58,True,981.69,75.56,-11.84,9.13,90,774.495303738318
T1_blended_top5,7,14,0.0,5,0.0,True,2022.98,73.33,-25.19,8.9,120,764.7003436426116
T1_blended_top5,7,14,0.0,5,0.55,True,2022.98,73.33,-25.19,8.9,120,764.7003436426116
T3_top5,3,6,0.0,5,0.58,True,986.85,77.11,-12.4,9.38,83,764.4405223880598
T3_top5,3,6,0.0,5,0.0,True,986.85,77.11,-12.4,9.38,83,764.4405223880598
T3_top5,3,6,0.0,5,0.55,True,986.85,77.11,-12.4,9.38,83,764.4405223880598
T3_top5,2,4,0.0,5,0.6,True,970.46,75.28,-11.84,9.1,89,763.3680685358255
T1_blended_top5,2,4,0.0,5,0.6,False,643.07,60.95,-9.59,11.54,315,761.4823229461756
T3_top5,3,6,0.0,5,0.6,True,974.59,76.83,-12.4,9.34,82,752.0343731343285
T3_top5,3,6,0.0,1,0.58,False,1043.06,72.34,-12.4,8.61,47,748.0452686567163
T3_top5,3,6,0.0,1,0.6,False,1043.06,72.34,-12.4,8.61,47,748.0452686567163
T3_top5,3,6,0.0,1,0.6,True,1043.06,72.34,-12.4,8.61,47,748.0452686567163
T3_top5,3,6,0.0,1,0.58,True,1043.06,72.34,-12.4,8.61,47,748.0452686567163
T3_top5,3,6,0.0,1,0.55,False,1043.06,72.34,-12.4,8.61,47,748.0452686567163
